Average electricity cost assumption: 0.05 USD/kWh,,,,,,,
Timestamp,Date and Time,"power MAX, GW","power MIN, GW","power GUESS, GW","annualised consumption MAX, TWh","annualised consumption MIN, TWh","annualised consumption GUESS, TWh"
1445212800,2015-10-19T00:00:00,0.414976983958286,0.124694164107086,0.256658996003667,3.63768824137833,1.09306904256271,2.24987275896814
1445299200,2015-10-20T00:00:00,0.411464698297714,0.123638776600114,0.254486683451,3.60689954527776,1.0838175156766,2.23083026713147
1445385600,2015-10-21T00:00:00,0.408356565696,0.1227048308352,0.252564335408,3.57965365489114,1.07563054710136,2.21397896418653
1445472000,2015-10-22T00:00:00,0.401241292925143,0.120566801438743,0.248163612389,3.5172811737818,1.05688858141202,2.17540222620197
1445558400,2015-10-23T00:00:00,0.4032276678,0.12116367636,0.249392164816667,3.5346937359348,1.06212078697176,2.1861717167829
1445644800,2015-10-24T00:00:00,0.406803090070286,0.122238035441486,0.251603526713,3.56603588755612,1.07153861868006,2.20555651516616
1445731200,2015-10-25T00:00:00,0.410775708558857,0.123431745842057,0.254060550384667,3.60085986122694,1.08200268405147,2.22709478467199
1445817600,2015-10-26T00:00:00,0.410378381079429,0.123312355081029,0.253814807425667,3.59737688854227,1.0809561046403,2.22494060189339
1445904000,2015-10-27T00:00:00,0.417926421838286,0.125580424563086,0.258483192993667,3.66354301383441,1.10083800172001,2.26586366978248
1445990400,2015-10-28T00:00:00,0.415940178224571,0.124983589083771,0.257254721749667,3.64613160231659,1.09560614190834,2.25509489085758
1446076800,2015-10-29T00:00:00,0.418320992833714,0.125698987043314,0.258727231095667,3.66700182318034,1.10187732042169,2.26800290778461
1446163200,2015-10-30T00:00:00,0.428589683300571,0.128784569674971,0.265078310522667,3.75701716381281,1.1289255377708,2.3236764700417
1446249600,2015-10-31T00:00:00,0.430698393560571,0.129418204486971,0.266382526127667,3.77550211795197,1.13447998053279,2.33510922403513
1446336000,2015-11-01T00:00:00,0.531458851100571,0.129590486893371,0.294329600586869,4.65876828874761,1.13599020810729,2.58009327874449
1446422400,2015-11-02T00:00:00,0.628643886370286,0.128688410218286,0.320065313149738,5.51069230792192,1.12808260397349,2.8056925350706
1446508800,2015-11-03T00:00:00,0.734704724415429,0.130059806571429,0.350841258861631,6.44042161422565,1.14010426440514,3.07547447518106
1446595200,2015-11-04T00:00:00,0.843943657251429,0.132386171245029,0.383582823510857,7.39801009946602,1.16049717713392,3.36248703089617
1446681600,2015-11-05T00:00:00,0.937677096065143,0.131824241885143,0.408756299876179,8.21967742410704,1.15557130436516,3.58315772471458
1446768000,2015-11-06T00:00:00,1.02206431994571,0.128650703720914,0.428373918227488,8.95941582864413,1.12775206881753,3.75512576718216
1446854400,2015-11-07T00:00:00,1.12362788571429,0.129261028344686,0.457042314054857,9.84972204617143,1.13310217446952,4.00643292500488
1446940800,2015-11-08T00:00:00,1.1087736,0.1275522061704,0.45100024514325,9.7195093776,1.11812263928973,3.95346814892573
